compound,grouping,MW,formula,CAS,C,H,O,N,n_Benz,Cl,S,F,Si,Br,I,Combust,MRF
"Hexanedioic acid, bis(2-chloroethyl) ester",7.0,271.13,C10H16Cl2O4,,10,16,4,0,0,2,0,,,,,1149.0,0.914
Hexanediol dodecanedioate,3.0,320.42,C16H32O6,,16,32,6,0,0,0,0,,,,,2079.0,1.711
1-Butanol,3.0,74.12,C4H10O,,4,10,1,0,0,0,0,,,,,596.0,0.44
"3-Octene, 2,2-dimethyl-",1.55,140.27,C10H20,,10,20,0,0,0,0,0,,,,,1484.0,1.201
"1,10-Dichlorodecane",7.0,211.17,C10H20Cl2,,10,20,0,0,0,2,0,,,,,1429.0,1.154
"3-Octene, 2,6-dimethyl-",1.55,140.27,C10H20,,10,20,0,0,0,0,0,,,,,1484.0,1.201
"3-Octene, 4-ethyl-",1.55,140.27,C10H20,,10,20,0,0,0,0,0,,,,,1484.0,1.201
"Octadecanoic acid, 2-methylpropyl ester",3.0,340.58,C22H44O2,,22,44,2,0,0,0,0,,,,,3155.0,2.633
"1-Octene, 6-methyl-",1.55,126.24,C9H18,,9,18,0,0,0,0,0,,,,,1337.0,1.075
"3-Heptene, 4-ethyl-",1.55,127.24,C9H19,,9,18,0,0,0,0,0,,,,,1337.0,1.075
"1-Heptanol, 6-methyl-",3.0,130.23,C8H18O,,8,18,1,0,0,0,0,,,,,1185.0,0.945
"Isophthalic acid, 2-chloroethyl ethyl ester",2.0,256.68,C12H13ClO4,,12,13,4,0,1,1,0,,,,,1318.0,1.186
"4,5-Dichloro-2-octyl-3(2H)-isothiazolone",5.0,282.2,C11H17Cl2NOS,,11,17,1,1,0,2,1,,,,,1501.0,1.216
Di-isononyl phthlate,2.0,418.6,C26H42O4,,26,42,4,0,1,0,0,,,,,3429.0,2.995
"Phthalic acid, decyl nonyl ester",2.0,432.6,C27H44O4,,27,44,4,0,1,0,0,,,,,3577.0,3.121
2-Methyl-1-undecanol,3.0,186.33,C12H26O,,12,26,1,0,0,0,0,,,,,1774.0,1.45
"Phthalic acid, decyl dec-2-yl ester",2.0,446.66,C28H46O4,,28,46,4,0,0,0,0,,,,,3724.0,3.12
(2-Aziridinylethyl)amine,4.0,86.14,C4H10N2,,4,10,0,2,0,0,0,,,,,659.0,0.494
Benzyl chloride,2.0,126.58,C7H7Cl,,7,7,0,0,1,1,0,,,,,862.0,0.795
"1-Nonanol, 4,8-dimethyl-",3.0,172.31,C11H24O,,11,24,1,0,0,0,0,,,,,1627.0,1.323
"2,2,4-Trimethyl-1,3-pentanediol diisobutyrate",3.0,286.41,C16H30O4,,16,30,4,0,0,0,0,,,,,2132.0,1.756
"1,2-Benzenedicarboxylic acid, bis(2-methylpropyl) ester",2.0,278.34,C16H22O4,,16,22,4,0,1,0,0,,,,,1957.0,1.733
"Benzoic acid, dec-2-yl ester",2.0,262.39,C17H26O2,,17,26,2,0,1,0,0,,,,,2244.0,1.979
"1,4-Benzenedicarboxylic acid, bis(2-methylpropyl) ester",2.0,278.34,C16H22O4,,16,22,4,0,1,0,0,,,,,1957.0,1.733
Benzyl butyl phthalate,2.0,312.4,C19H20O4,,19,20,4,0,2,0,0,,,,,2224.0,2.089
"Phthalic acid, 4,4-dimethylpent-2-yl heptyl ester",2.0,320.4,C19H28O4,,19,28,4,0,1,0,0,,,,,2399.0,2.112
1-Nonanol,3.0,144.25,C9H20O,,9,20,1,0,0,0,0,,,,,1333.0,1.071
"Phthalic acid, 2-methylbutyl pentyl ester",2.0,306.4,C18H26O4,,18,26,4,0,1,0,0,,,,,2251.0,1.985
"1,2-Benzenedicarboxylic acid, diheptyl ester",2.0,362.5,C22H34O4,,22,34,4,0,1,0,0,,,,,2840.0,2.49
"1,2-Benzenedicarboxylic acid, dinonyl ester",2.0,418.61,C26H42O4,,26,42,4,0,1,0,0,,,,,3429.0,2.995
"Hexane, 3-chloro-3-methyl-",7.0,134.65,C7H15Cl,,7,15,0,0,0,1,0,,,,,1037.0,0.818
"Dodecane, 1-chloro-",7.0,204.78,C12H25Cl,,12,25,0,0,0,1,0,,,,,1773.0,1.449
Diisoheptyl phthalate,3.0,362.5,C22H34O4,,22,34,4,0,1,0,0,,,,,2840.0,2.49
Di-isononyl phthalate,3.0,418.61,C26H42O4,,26,42,4,0,1,0,0,,,,,3429.0,2.995
Propane,1.0,44.097,C3H8,,3,8,0,0,0,0,0,,,,,497.0,0.355
"2-Pentene, 3-methyl-, (Z)-",1.5,84.1595,C6H12,,6,12,0,0,0,0,0,,,,,895.0,0.696
": 1,3-Pentadiene, 2-methyl-, (E)-",1.7,82.1436,C6H10,,6,10,0,0,0,0,0,,,,,852.0,0.659
"2-Hexene, 2-methyl-",1.55,98.1861,C7H14,,7,14,0,0,0,0,0,,,,,1042.0,0.822
3-Ethyl-4-methyl-2-pentene,1.55,112.2126,C8H16,,8,16,0,0,0,0,0,,,,,1190.0,0.949
"3-Hexene, 2,5-dimethyl-",1.55,112.2126,C8H16,,8,16,0,0,0,0,0,,,,,1190.0,0.949
"Cyclohexane, 1,3,5-trimethyl-, (1α,3α,5α)-",1.55,126.2392,C9H18,,9,18,0,0,0,0,0,,,,,1337.0,1.075
C9H18,1.55,126.23742,C9H18,,9,18,0,0,0,0,0,,,,,1337.0,1.075
C63H126,1.55,883.66194,C63H126,,63,126,0,0,0,0,0,,,,,9290.0,7.89
C66H132,1.55,925.74108,C66H132,,66,132,0,0,0,0,0,,,,,9731.0,8.269
C69H138,1.55,967.82,C69H138,,69,138,0,0,0,0,0,,,,,10173.0,8.647
C72H144,1.55,1009.9,C72H144,,72,144,0,0,0,0,0,,,,,10615.0,9.026
C75H150,1.55,1051.9785,C75H150,,75,150,0,0,0,0,0,,,,,11057.0,9.405
C78H156,1.55,1094.05764,C78H156,,78,156,0,0,0,0,0,,,,,11499.0,9.783
C10H20,1.55,140.2638,C10H20,,10,20,0,0,0,0,0,,,,,1484.0,1.201
C9H18 branched,1.55,126.23742,C9H18,,9,18,0,0,0,0,0,,,,,1337.0,1.075
C10H20 branched,1.55,140.2638,C10H20,,10,20,0,0,0,0,0,,,,,1484.0,1.201
C11H22 branched,1.55,154.29018,C11H22,,11,22,0,0,0,0,0,,,,,1632.0,1.327
C12H24 branched,1.55,168.31656,C12H24,,12,24,0,0,0,0,0,,,,,1779.0,1.453
C13H26 branched,1.55,182.34294,C13H26,,13,26,0,0,0,0,0,,,,,1926.0,1.58
C14H28 branched,1.55,196.36932,C14H28,,14,28,0,0,0,0,0,,,,,2073.0,1.706
C15H30 branched,1.55,210.3957,C15H30,,15,30,0,0,0,0,0,,,,,2221.0,1.832
C16H32 branched,1.55,224.42208,C16H32,,16,32,0,0,0,0,0,,,,,2368.0,1.958
C17H34 branched,1.55,238.44846,C17H34,,17,34,0,0,0,0,0,,,,,2515.0,2.085
C18H36 branched,1.55,252.47484,C18H36,,18,36,0,0,0,0,0,,,,,2662.0,2.211
C19H38 branched,1.55,266.50122,C19H38,,19,38,0,0,0,0,0,,,,,2810.0,2.337
C20H40 branched,1.55,280.5276,C20H40,,20,40,0,0,0,0,0,,,,,2957.0,2.463
C21H42 branched,1.55,294.55398,C21H42,,21,42,0,0,0,0,0,,,,,3104.0,2.589
C22H44 branched,1.55,308.58036,C22H44,,22,44,0,0,0,0,0,,,,,3252.0,2.716
C23H46 branched,1.55,322.60674,C23H46,,23,46,0,0,0,0,0,,,,,3399.0,2.842
C24H48 branched,1.55,336.63312,C24H48,,24,48,0,0,0,0,0,,,,,3546.0,2.968
C25H50 branched,1.55,350.6595,C25H50,,25,50,0,0,0,0,0,,,,,3693.0,3.094
C26H52 branched,1.55,364.68588,C26H52,,26,52,0,0,0,0,0,,,,,3841.0,3.22
C27H54 branched,1.55,378.71226,C27H54,,27,54,0,0,0,0,0,,,,,3988.0,3.347
C28H56 branched,1.55,392.73864,C28H56,,28,56,0,0,0,0,0,,,,,4135.0,3.473
C29H58 branched,1.55,406.76502,C29H58,,29,58,0,0,0,0,0,,,,,4282.0,3.599
C30H60 branched,1.55,420.7914,C30H60,,30,60,0,0,0,0,0,,,,,4430.0,3.725
C31H62 branched,1.55,434.81778,C31H62,,31,62,0,0,0,0,0,,,,,4577.0,3.851
C32H64 branched,1.55,448.84416,C32H64,,32,64,0,0,0,0,0,,,,,4724.0,3.978
C33H66 branched,1.55,462.87054,C33H66,,33,66,0,0,0,0,0,,,,,4872.0,4.104
C34H68 branched,1.55,476.89692,C34H68,,34,68,0,0,0,0,0,,,,,5019.0,4.23
C35H70 branched,1.55,490.9233,C35H70,,35,70,0,0,0,0,0,,,,,5166.0,4.356
C36H72 branched,1.55,504.94968,C36H72,,36,72,0,0,0,0,0,,,,,5313.0,4.483
C39H78 branched,1.55,547.02882,C39H78,,39,78,0,0,0,0,0,,,,,5755.0,4.861
C42H84 branched,1.55,589.10796,C42H84,,42,84,0,0,0,0,0,,,,,6197.0,5.24
C45H90 branched,1.55,631.1871,C45H90,,45,90,0,0,0,0,0,,,,,6639.0,5.618
C48H96 branched,1.55,673.26624,C48H96,,48,96,0,0,0,0,0,,,,,7081.0,5.997
C51H102 branched,1.55,715.34538,C51H102,,51,102,0,0,0,0,0,,,,,7522.0,6.376
C54H108 branched,1.55,757.42452,C54H108,,54,108,0,0,0,0,0,,,,,7964.0,6.754
C57H114 branched,1.55,799.50366,C57H114,,57,114,0,0,0,0,0,,,,,8406.0,7.133
C60H120 branched,1.55,841.5828,C60H120,,60,120,0,0,0,0,0,,,,,8848.0,7.512
C63H126 branched,1.55,883.66194,C63H126,,63,126,0,0,0,0,0,,,,,9290.0,7.89
C7H14 branched,1.55,98.18,C7H14,,7,14,0,0,0,0,0,,,,,1042.0,0.822
C19H40 iso-paraffins,0.9,268.5169,C19H40,,19,40,0,0,0,0,0,,,,,2853.0,2.374
"Benzene, 1-propenyl-, (e)-",2.0,118.1757,C9H10,,9,10,0,0,1,0,0,,,,,1162.0,1.052
"Benzene, 1-propenyl",2.0,118.1757,C9H10,,9,10,0,0,1,0,0,,,,,1162.0,1.052
"Benzene, cyclopropyl-",2.0,118.1757,C9H10,,9,10,0,0,1,0,0,,,,,1162.0,1.052
"1-Butene, 2,4-diphenyl",2.2,208.3,C16H16,,16,16,0,0,2,0,0,,,,,2018.0,1.913
Diphenylacetylene,2.2,178.08,C14H10,,14,10,0,0,2,0,0,,,,,1680.0,1.623
"1,1'-Biphenyl, 2-methyl-",2.2,168.23,C13H12,,13,12,0,0,2,0,0,,,,,1620.0,1.572
diphenyl,2.2,154.21,C12H10,,12,10,0,0,2,0,0,,,,,1473.0,1.445
o-Cymene,2.0,134.22,C10H14,,10,14,0,0,1,0,0,,,,,1353.0,1.216
