compound,grouping,MW,formula,CAS,C,H,O,N,n_Benz,Cl,S,F,Si,Br,I,Combust,MRF
i-C12,0.9,170.132,C12H26,,12,26,0,0,0,0,0,0.0,0.0,0.0,0.0,1822.54,1.49091678
i-C13,0.9,184.143,C13H28,,13,28,0,0,0,0,0,0.0,0.0,0.0,0.0,1969.81,1.61712717
i-C14,0.9,198.154,C14H30,,14,30,0,0,0,0,0,0.0,0.0,0.0,0.0,2117.08,1.74333756
i-C15,0.9,212.165,C15H32,,15,32,0,0,0,0,0,0.0,0.0,0.0,0.0,2264.35,1.86954795
i-C16,0.9,226.176,C16H34,,16,34,0,0,0,0,0,0.0,0.0,0.0,0.0,2411.62,1.99575834
i-C17,0.9,240.187,C17H36,,17,36,0,0,0,0,0,0.0,0.0,0.0,0.0,2558.89,2.12196873
i-C18,0.9,254.198,C18H38,,18,38,0,0,0,0,0,0.0,0.0,0.0,0.0,2706.16,2.24817912
i-C19,0.9,268.209,C19H40,,19,40,0,0,0,0,0,0.0,0.0,0.0,0.0,2853.43,2.37438951
i-C20,0.9,282.22,C20H42,,20,42,0,0,0,0,0,0.0,0.0,0.0,0.0,3000.7,2.5005999
i-C21,0.9,296.231,C21H44,,21,44,0,0,0,0,0,0.0,0.0,0.0,0.0,3147.97,2.62681029
i-C22,0.9,310.242,C22H46,,22,46,0,0,0,0,0,0.0,0.0,0.0,0.0,3295.24,2.75302068
i-C23,0.9,324.253,C23H48,,23,48,0,0,0,0,0,0.0,0.0,0.0,0.0,3442.51,2.87923107
i-C24,0.9,338.264,C24H50,,24,50,0,0,0,0,0,0.0,0.0,0.0,0.0,3589.78,3.00544146
i-C25,0.9,352.275,C25H52,,25,52,0,0,0,0,0,0.0,0.0,0.0,0.0,3737.05,3.13165185
i-C26,0.9,366.286,C26H54,,26,54,0,0,0,0,0,0.0,0.0,0.0,0.0,3884.32,3.25786224
i-C27,0.9,380.297,C27H56,,27,56,0,0,0,0,0,0.0,0.0,0.0,0.0,4031.59,3.38407263
i-C28,0.9,394.308,C28H58,,28,58,0,0,0,0,0,0.0,0.0,0.0,0.0,4178.86,3.51028302
i-C29,0.9,408.319,C29H60,,29,60,0,0,0,0,0,0.0,0.0,0.0,0.0,4326.13,3.63649341
i-C30,0.9,422.33,C30H62,,30,62,0,0,0,0,0,0.0,0.0,0.0,0.0,4473.4,3.7627038
i-C31,0.9,436.341,C31H64,,31,64,0,0,0,0,0,0.0,0.0,0.0,0.0,4620.67,3.88891419
i-C32,0.9,450.352,C32H66,,32,66,0,0,0,0,0,0.0,0.0,0.0,0.0,4767.94,4.01512458
i-C33,0.9,464.363,C33H68,,33,68,0,0,0,0,0,0.0,0.0,0.0,0.0,4915.21,4.14133497
i-C34,0.9,478.374,C34H70,,34,70,0,0,0,0,0,0.0,0.0,0.0,0.0,5062.48,4.26754536
i-C35,0.9,492.385,C35H72,,35,72,0,0,0,0,0,0.0,0.0,0.0,0.0,5209.75,4.39375575
i-C36,0.9,506.396,C36H74,,36,74,0,0,0,0,0,0.0,0.0,0.0,0.0,5357.02,4.51996614
i-C37,0.9,520.407,C37H76,,37,76,0,0,0,0,0,0.0,0.0,0.0,0.0,5504.29,4.64617653
mN-C6,1.1,84.066,C6H12,,6,12,0,0,0,0,0,0.0,0.0,0.0,0.0,895.22,0.69620354
mN-C7,1.1,98.077,C7H14,,7,14,0,0,0,0,0,0.0,0.0,0.0,0.0,1042.49,0.82241393
mN-C8,1.1,112.088,C8H16,,8,16,0,0,0,0,0,0.0,0.0,0.0,0.0,1189.76,0.94862432
mN-C9,1.1,126.099,C9H18,,9,18,0,0,0,0,0,0.0,0.0,0.0,0.0,1337.03,1.07483471
mN-C10,1.1,140.11,C10H20,,10,20,0,0,0,0,0,0.0,0.0,0.0,0.0,1484.3,1.2010451
mN-C11,1.1,154.121,C11H22,,11,22,0,0,0,0,0,0.0,0.0,0.0,0.0,1631.57,1.32725549
mN-C12,1.1,168.132,C12H24,,12,24,0,0,0,0,0,0.0,0.0,0.0,0.0,1778.84,1.45346588
mN-C13,1.1,182.143,C13H26,,13,26,0,0,0,0,0,0.0,0.0,0.0,0.0,1926.11,1.57967627
mN-C14,1.1,196.154,C14H28,,14,28,0,0,0,0,0,0.0,0.0,0.0,0.0,2073.38,1.70588666
mN-C15,1.1,210.165,C15H30,,15,30,0,0,0,0,0,0.0,0.0,0.0,0.0,2220.65,1.83209705
mN-C16,1.1,224.176,C16H32,,16,32,0,0,0,0,0,0.0,0.0,0.0,0.0,2367.92,1.95830744
mN-C17,1.1,238.187,C17H34,,17,34,0,0,0,0,0,0.0,0.0,0.0,0.0,2515.19,2.08451783
mN-C18,1.1,252.198,C18H36,,18,36,0,0,0,0,0,0.0,0.0,0.0,0.0,2662.46,2.21072822
mN-C19,1.1,266.209,C19H38,,19,38,0,0,0,0,0,0.0,0.0,0.0,0.0,2809.73,2.33693861
mN-C20,1.1,280.22,C20H40,,20,40,0,0,0,0,0,0.0,0.0,0.0,0.0,2957.0,2.463149
mN-C21,1.1,294.231,C21H42,,21,42,0,0,0,0,0,0.0,0.0,0.0,0.0,3104.27,2.58935939
mN-C22,1.1,308.242,C22H44,,22,44,0,0,0,0,0,0.0,0.0,0.0,0.0,3251.54,2.71556978
mN-C23,1.1,322.253,C23H46,,23,46,0,0,0,0,0,0.0,0.0,0.0,0.0,3398.81,2.84178017
mN-C24,1.1,336.264,C24H48,,24,48,0,0,0,0,0,0.0,0.0,0.0,0.0,3546.08,2.96799056
mN-C25,1.1,350.275,C25H50,,25,50,0,0,0,0,0,0.0,0.0,0.0,0.0,3693.35,3.09420095
mN-C26,1.1,364.286,C26H52,,26,52,0,0,0,0,0,0.0,0.0,0.0,0.0,3840.62,3.22041134
mN-C27,1.1,378.297,C27H54,,27,54,0,0,0,0,0,0.0,0.0,0.0,0.0,3987.89,3.34662173
mN-C28,1.1,392.308,C28H56,,28,56,0,0,0,0,0,0.0,0.0,0.0,0.0,4135.16,3.47283212
mN-C29,1.1,406.319,C29H58,,29,58,0,0,0,0,0,0.0,0.0,0.0,0.0,4282.43,3.59904251
mN-C30,1.1,420.33,C30H60,,30,60,0,0,0,0,0,0.0,0.0,0.0,0.0,4429.7,3.7252529
mN-C31,1.1,434.341,C31H62,,31,62,0,0,0,0,0,0.0,0.0,0.0,0.0,4576.97,3.85146329
mN-C32,1.1,448.352,C32H64,,32,64,0,0,0,0,0,0.0,0.0,0.0,0.0,4724.24,3.97767368
mN-C33,1.1,462.363,C33H66,,33,66,0,0,0,0,0,0.0,0.0,0.0,0.0,4871.51,4.10388407
mN-C34,1.1,476.374,C34H68,,34,68,0,0,0,0,0,0.0,0.0,0.0,0.0,5018.78,4.23009446
mN-C35,1.1,490.385,C35H70,,35,70,0,0,0,0,0,0.0,0.0,0.0,0.0,5166.05,4.35630485
mN-C36,1.1,504.396,C36H72,,36,72,0,0,0,0,0,0.0,0.0,0.0,0.0,5313.32,4.48251524
dN-C8,1.11,110.088,C8H14,,8,14,0,0,0,0,0,0.0,0.0,0.0,0.0,1146.06,0.91117342
dN-C9,1.11,124.099,C9H16,,9,16,0,0,0,0,0,0.0,0.0,0.0,0.0,1293.33,1.03738381
dN-C10,1.11,138.11,C10H18,,10,18,0,0,0,0,0,0.0,0.0,0.0,0.0,1440.6,1.1635942
dN-C11,1.11,152.121,C11H20,,11,20,0,0,0,0,0,0.0,0.0,0.0,0.0,1587.87,1.28980459
dN-C12,1.11,166.132,C12H22,,12,22,0,0,0,0,0,0.0,0.0,0.0,0.0,1735.14,1.41601498
dN-C13,1.11,180.143,C13H24,,13,24,0,0,0,0,0,0.0,0.0,0.0,0.0,1882.41,1.54222537
dN-C14,1.11,194.154,C14H26,,14,26,0,0,0,0,0,0.0,0.0,0.0,0.0,2029.68,1.66843576
dN-C15,1.11,208.165,C15H28,,15,28,0,0,0,0,0,0.0,0.0,0.0,0.0,2176.95,1.79464615
dN-C16,1.11,222.176,C16H30,,16,30,0,0,0,0,0,0.0,0.0,0.0,0.0,2324.22,1.92085654
dN-C17,1.11,236.187,C17H32,,17,32,0,0,0,0,0,0.0,0.0,0.0,0.0,2471.49,2.04706693
dN-C18,1.11,250.198,C18H34,,18,34,0,0,0,0,0,0.0,0.0,0.0,0.0,2618.76,2.17327732
dN-C19,1.11,264.209,C19H36,,19,36,0,0,0,0,0,0.0,0.0,0.0,0.0,2766.03,2.29948771
dN-C20,1.11,278.22,C20H38,,20,38,0,0,0,0,0,0.0,0.0,0.0,0.0,2913.3,2.4256981
dN-C21,1.11,292.231,C21H40,,21,40,0,0,0,0,0,0.0,0.0,0.0,0.0,3060.57,2.55190849
dN-C22,1.11,306.242,C22H42,,22,42,0,0,1,0,0,0.0,0.0,0.0,0.0,3207.84,2.80511888
NaMAH-C9,1.12,118.099,C9H10,,9,10,0,0,1,0,0,0.0,0.0,0.0,0.0,1162.23,1.05203111
NaMAH-C10,1.12,132.11,C10H12,,10,12,0,0,1,0,0,0.0,0.0,0.0,0.0,1309.5,1.1782415
NaMAH-C11,1.12,146.121,C11H14,,11,14,0,0,1,0,0,0.0,0.0,0.0,0.0,1456.77,1.30445189
NaMAH-C12,1.12,160.132,C12H16,,12,16,0,0,1,0,0,0.0,0.0,0.0,0.0,1604.04,1.43066228
NaMAH-C13,1.12,174.143,C13H18,,13,18,0,0,1,0,0,0.0,0.0,0.0,0.0,1751.31,1.55687267
NaMAH-C14,1.12,188.154,C14H20,,14,20,0,0,1,0,0,0.0,0.0,0.0,0.0,1898.58,1.68308306
NaMAH-C15,1.12,202.165,C15H22,,15,22,0,0,1,0,0,0.0,0.0,0.0,0.0,2045.85,1.80929345
NaMAH-C16,1.12,216.176,C16H24,,16,24,0,0,1,0,0,0.0,0.0,0.0,0.0,2193.12,1.93550384
NaMAH-C17,1.12,230.187,C17H26,,17,26,0,0,1,0,0,0.0,0.0,0.0,0.0,2340.39,2.06171423
NaMAH-C18,1.12,244.198,C18H28,,18,28,0,0,1,0,0,0.0,0.0,0.0,0.0,2487.66,2.18792462
NaMAH-C19,1.12,258.209,C19H30,,19,30,0,0,1,0,0,0.0,0.0,0.0,0.0,2634.93,2.31413501
NaMAH-C20,1.12,272.22,C20H32,,20,32,0,0,1,0,0,0.0,0.0,0.0,0.0,2782.2,2.4403454
DAH-C11,2.2,142.121,C11H10,,11,10,0,0,2,0,0,0.0,0.0,0.0,0.0,1369.37,1.35655009
DAH-C12,2.2,156.132,C12H12,,12,12,0,0,2,0,0,0.0,0.0,0.0,0.0,1516.64,1.48276048
DAH-C13,2.2,170.143,C13H14,,13,14,0,0,2,0,0,0.0,0.0,0.0,0.0,1663.91,1.60897087
DAH-C14,2.2,184.154,C14H16,,14,16,0,0,2,0,0,0.0,0.0,0.0,0.0,1811.18,1.73518126
DAH-C15,2.2,198.165,C15H18,,15,18,0,0,2,0,0,0.0,0.0,0.0,0.0,1958.45,1.86139165
DAH-C16,2.2,212.176,C16H20,,16,20,0,0,2,0,0,0.0,0.0,0.0,0.0,2105.72,1.98760204
n-Heptane,1.0,100.077,C7H16,,7,16,0,0,0,0,0,0.0,0.0,0.0,0.0,1085.65,0.8596020500000001
n-Octane,1.0,114.088,C8H18,,8,18,0,0,0,0,0,0.0,0.0,0.0,0.0,1232.9199999999998,0.98581244
Xylene,2.0,106.088,C8H10,,8,10,0,0,1,0,0,0.0,0.0,0.0,0.0,1156.11,1.04698627
n-Nonane,1.0,128.099,C9H20,,9,20,0,0,0,0,0,0.0,0.0,0.0,0.0,1380.1899999999998,1.11202283
n-Decane,1.0,142.11,C10H22,,10,22,0,0,0,0,0,0.0,0.0,0.0,0.0,1527.4599999999998,1.23823322
n-Undecane,1.0,156.121,C11H24,,11,24,0,0,0,0,0,0.0,0.0,0.0,0.0,1674.73,1.36444361
n-Dodecane,1.0,170.132,C12H26,,12,26,0,0,0,0,0,0.0,0.0,0.0,0.0,1822.0,1.490654
n-Tridecane,1.0,198.154,C14H30,,14,30,0,0,0,0,0,0.0,0.0,0.0,0.0,2116.54,1.74307478
n-Tetradecane,1.0,198.154,C14H30,,14,30,0,0,0,0,0,0.0,0.0,0.0,0.0,2116.54,1.74307478
n-Pentadecane,1.0,212.165,C15H32,,15,32,0,0,0,0,0,0.0,0.0,0.0,0.0,2263.81,1.86928517
n-Hexadecane,1.0,225.176,C16H34,,16,33,0,0,0,0,0,0.0,0.0,0.0,0.0,2340.17,1.9347256900000005
n-Heptadecane,1.0,240.187,C17H36,,17,36,0,0,0,0,0,0.0,0.0,0.0,0.0,2558.35,2.12170595
n-Octadecane,1.0,254.198,C18H38,,18,38,0,0,0,0,0,0.0,0.0,0.0,0.0,2705.62,2.24791634
n-Nonadecane,1.0,268.209,C19H40,,19,40,0,0,0,0,0,0.0,0.0,0.0,0.0,2852.89,2.3741267299999995
n-C20H42,1.0,282.556,C20H42,,20,42,0,0,0,0,0,0.0,0.0,0.0,0.0,3000.16,2.50033712
n-C21H44,1.0,296.583,C21H44,,21,44,0,0,0,0,0,0.0,0.0,0.0,0.0,3147.43,2.6265475099999995
n-C22H46,1.0,310.61,C22H46,,22,46,0,0,0,0,0,0.0,0.0,0.0,0.0,3294.7,2.7527579
n-C23H48,1.0,324.637,C23H48,,23,48,0,0,0,0,0,0.0,0.0,0.0,0.0,3441.97,2.8789682899999995
n-C24H50,1.0,338.664,C24H50,,24,50,0,0,0,0,0,0.0,0.0,0.0,0.0,3589.24,3.00517868
n-C25H52,1.0,352.691,C25H52,,25,52,0,0,0,0,0,0.0,0.0,0.0,0.0,3736.51,3.13138907
n-C26H54,1.0,366.718,C26H54,,26,54,0,0,0,0,0,0.0,0.0,0.0,0.0,3883.78,3.25759946
n-C27H56,1.0,380.745,C27H56,,27,56,0,0,0,0,0,0.0,0.0,0.0,0.0,4031.05,3.38380985
n-C28H58,1.0,394.772,C28H58,,28,58,0,0,0,0,0,0.0,0.0,0.0,0.0,4178.32,3.51002024
n-C29H60,1.0,408.799,C29H60,,29,60,0,0,0,0,0,0.0,0.0,0.0,0.0,4325.59,3.63623063
n-C30H62,1.0,422.826,C30H62,,30,62,0,0,0,0,0,0.0,0.0,0.0,0.0,4472.86,3.76244102
n-C31H64,1.0,436.853,C31H64,,31,64,0,0,0,0,0,0.0,0.0,0.0,0.0,4620.129999999999,3.888651409999999
n-C32H66,1.0,450.88,C32H66,,32,66,0,0,0,0,0,0.0,0.0,0.0,0.0,4767.4,4.014861799999999
n-C33H68,1.0,464.907,C33H68,,33,68,0,0,0,0,0,0.0,0.0,0.0,0.0,4914.67,4.14107219
n-C34H70,1.0,478.934,C34H70,,34,70,0,0,0,0,0,0.0,0.0,0.0,0.0,5061.94,4.26728258
n-C35H72,1.0,492.961,C35H72,,35,72,0,0,0,0,0,0.0,0.0,0.0,0.0,5209.21,4.39349297
n-C36H74,1.0,506.988,C36H74,,36,74,0,0,0,0,0,0.0,0.0,0.0,0.0,5356.48,4.519703359999999
n-C37H76,1.0,521.015,C37H76,,37,76,0,0,0,0,0,0.0,0.0,0.0,0.0,5503.75,4.64591375
n-C38H78,1.0,535.0419999999999,C38H78,,38,78,0,0,0,0,0,0.0,0.0,0.0,0.0,5651.02,4.77212414
n-C39H80,1.0,549.069,C39H80,,39,80,0,0,0,0,0,0.0,0.0,0.0,0.0,5798.289999999999,4.898334529999999
n-C40H82,1.0,563.096,C40H82,,40,82,0,0,0,0,0,0.0,0.0,0.0,0.0,5945.56,5.024544919999999
n-C41H84,1.0,577.1229999999999,C41H84,,41,84,0,0,0,0,0,0.0,0.0,0.0,0.0,6092.83,5.15075531
n-C42H86,1.0,591.15,C42H86,,42,86,0,0,0,0,0,0.0,0.0,0.0,0.0,6240.1,5.2769657
n-C43H88,1.0,605.1769999999999,C43H88,,43,88,0,0,0,0,0,0.0,0.0,0.0,0.0,6387.37,5.40317609
n-C44H90,1.0,619.204,C44H90,,44,90,0,0,0,0,0,0.0,0.0,0.0,0.0,6534.64,5.52938648
n-C45H92,1.0,633.231,C45H92,,45,92,0,0,0,0,0,0.0,0.0,0.0,0.0,6681.91,5.65559687
